model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,k-center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,4.058,0.239,0.723,0.724,0.8,0.801,0.778,2e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.002541780471801758
rf,k-center,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,20.307,0.358,0.723,0.745,0.823,0.833,0.847,8e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.002541780471801758
svc,k-center,0.45,0.307,0.307,0.45,0.1,0.053,0.053,0.1,9.081,0.002,0.495,0.441,0.656,0.744,0.5,4e-06,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.002541780471801758
logreg,k-center,0.4,0.313,0.313,0.4,0.122,0.111,0.111,0.122,6.334,0.009,0.583,0.442,0.452,0.443,0.713,1e-05,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.002541780471801758
mlp,k-center,0.4,0.347,0.347,0.4,0.122,0.134,0.134,0.122,7.788,0.025,0.702,0.614,0.662,0.636,0.775,1.4e-05,latent,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.002541780471801758
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.053,0.077,0.658,0.675,0.776,0.791,0.766,1e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
rf,ag,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,22.13,0.523,0.718,0.722,0.799,0.801,0.823,1e-05,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
svc,ag,0.55,0.507,0.507,0.55,0.245,0.271,0.271,0.245,4.818,0.001,0.772,0.737,0.796,0.785,0.856,3e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
logreg,ag,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,8.143,0.076,0.738,0.747,0.819,0.822,0.866,7e-06,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
mlp,ag,0.5,0.447,0.447,0.5,0.274,0.298,0.298,0.274,8.554,1.361,0.769,0.722,0.778,0.764,0.847,1e-05,original,10,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0018720626831054688
