model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
rf,k-center,0.45,0.393,0.393,0.45,0.187,0.203,0.203,0.187,20.674,0.424,0.776,0.639,0.748,0.708,0.857,2.9e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019969940185546875
svc,k-center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,9.767,0.002,0.495,0.134,0.043,0.154,0.356,6e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019969940185546875
logreg,k-center,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,5.961,0.212,0.492,0.138,0.051,0.157,0.68,1e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019969940185546875
mlp,k-center,0.45,0.373,0.373,0.45,0.1,0.114,0.114,0.1,5.655,0.048,0.66,0.543,0.664,0.61,0.738,6.9e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019969940185546875
xgb,ag,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,13.898,10.09,0.828,0.8,0.89,0.886,0.884,7.9e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
rf,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,30.83,0.463,0.759,0.641,0.756,0.719,0.822,2.3e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
svc,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,9.509,0.002,0.812,0.701,0.807,0.78,0.887,2e-06,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
logreg,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,9.527,0.142,0.8,0.695,0.804,0.777,0.893,1e-06,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
mlp,ag,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,6.566,1.907,0.745,0.601,0.71,0.663,0.835,4.1e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
xgb,ag,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,6.918,10.501,0.831,0.795,0.886,0.88,0.852,3e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
rf,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,23.355,0.361,0.812,0.79,0.886,0.882,0.886,3.5e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
svc,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.244,0.002,0.809,0.752,0.856,0.843,0.9,4e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
logreg,ag,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,4.712,0.272,0.772,0.704,0.822,0.803,0.862,1e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
mlp,ag,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,9.464,1.954,0.766,0.697,0.817,0.796,0.858,0.000106,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0021741390228271484
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.13,9.58,0.34,0.108,0.052,0.115,0.119,3.8e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,30.969,0.328,0.325,0.209,0.243,0.212,0.225,2.9e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.81,0.002,0.255,0.124,0.116,0.124,0.148,3e-06,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.854,0.112,0.305,0.107,0.063,0.111,0.126,1e-06,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.789,1.799,0.278,0.185,0.22,0.188,0.21,9.2e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.943,10.625,0.361,0.157,0.132,0.159,0.256,6.9e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.454,0.355,0.305,0.123,0.092,0.125,0.137,1.9e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.017,0.002,0.264,0.139,0.14,0.139,0.151,5e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.591,0.144,0.278,0.121,0.101,0.122,0.131,1e-06,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.853,0.148,0.3,0.194,0.225,0.196,0.205,9.9e-05,latent,10,5,1394.8440988063812,0,8.642968910604358e-07,0.0019600391387939453
xgb,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,5.37,8.714,0.5,0.134,0.042,0.155,0.5,4e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
rf,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,24.602,0.26,0.5,0.134,0.042,0.155,0.5,1.4e-05,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
svc,craig,0.5,0.333,0.4,0.5,0.0,0.0,0.133,0.0,9.486,0.002,0.5,0.134,0.042,0.155,0.628,2e-06,original,10,5,1394.8440988063812,0,8.642968910604358e-07,0.002756357192993164
