model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
mlp,ag,0.817,0.816,0.816,0.817,0.096,0.096,0.096,0.096,6.642,1.44,0.786,0.716,0.766,0.749,0.875,8e-06,original,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0013158321380615234
xgb,ag,0.933,0.933,0.933,0.933,0.022,0.022,0.022,0.022,4.123,0.026,0.697,0.663,0.734,0.718,0.772,2e-06,latent,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0013158321380615234
rf,ag,0.9,0.9,0.9,0.9,0.038,0.038,0.038,0.038,19.456,0.445,0.751,0.725,0.789,0.78,0.83,1.2e-05,latent,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0013158321380615234
svc,ag,0.872,0.872,0.872,0.872,0.057,0.057,0.057,0.057,5.501,0.008,0.687,0.611,0.665,0.638,0.762,7e-06,latent,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0013158321380615234
logreg,ag,0.933,0.933,0.933,0.933,0.067,0.068,0.068,0.067,6.623,0.105,0.7,0.651,0.716,0.696,0.784,0.0,latent,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0013158321380615234
mlp,ag,0.806,0.804,0.804,0.806,0.072,0.073,0.073,0.072,8.561,0.191,0.728,0.69,0.755,0.741,0.819,9e-06,latent,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0013158321380615234
xgb,lc,0.994,0.994,0.994,0.994,0.011,0.011,0.011,0.011,7.774,0.034,0.245,0.179,0.179,0.179,0.126,2e-06,original,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0015382766723632812
rf,lc,0.972,0.972,0.972,0.972,0.018,0.018,0.018,0.018,14.413,0.229,0.237,0.21,0.243,0.215,0.134,7e-06,original,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0015382766723632812
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.798,0.005,0.206,0.18,0.207,0.183,0.11,3e-06,original,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0015382766723632812
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.853,0.006,0.211,0.179,0.201,0.181,0.113,1.2e-05,original,90,6,1033.4447462558746,0,3.572942985130088e-07,0.0015382766723632812
