model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,k-center,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.457,2.257,0.524,0.248,0.179,0.269,0.539,8e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
rf,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,21.482,0.421,0.513,0.216,0.131,0.245,0.531,1.5e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
svc,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,3.922,0.002,0.508,0.207,0.119,0.239,0.476,7e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
logreg,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,3.696,0.115,0.501,0.183,0.082,0.222,0.561,1.1e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
mlp,k-center,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,8.407,0.123,0.502,0.192,0.096,0.228,0.624,4.2e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
xgb,ag,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,5.793,2.992,0.58,0.458,0.493,0.465,0.609,1e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
rf,ag,0.45,0.393,0.393,0.45,0.187,0.203,0.203,0.187,16.635,0.305,0.56,0.525,0.62,0.586,0.587,1e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
svc,ag,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,6.906,0.002,0.505,0.501,0.677,0.699,0.435,3e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
logreg,ag,0.4,0.38,0.38,0.4,0.122,0.147,0.147,0.122,3.262,0.005,0.561,0.534,0.636,0.606,0.582,0.0,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
mlp,ag,0.35,0.307,0.307,0.35,0.2,0.213,0.213,0.2,6.975,1.522,0.637,0.554,0.619,0.585,0.702,6.2e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
