model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
svc,ag,0.57,0.539,0.534,0.558,0.085,0.116,0.123,0.098,6.187,0.003,0.643,0.598,0.684,0.657,0.683,8e-06,original,0.002,5,0,0,0,0.001882314682006836
logreg,ag,0.59,0.537,0.53,0.576,0.084,0.149,0.161,0.102,4.253,0.132,0.625,0.526,0.58,0.546,0.697,0.0,original,0.002,5,0,0,0,0.001882314682006836
mlp,ag,0.453,0.427,0.422,0.445,0.112,0.142,0.15,0.123,8.927,4.909,0.649,0.59,0.668,0.638,0.714,2.1e-05,original,0.002,5,0,0,0,0.001882314682006836
xgb,ag,0.807,0.798,0.797,0.8,0.101,0.107,0.108,0.106,6.017,8.13,0.635,0.547,0.609,0.574,0.696,3.4e-05,latent,0.002,5,0,0,0,0.001882314682006836
rf,ag,0.64,0.617,0.614,0.633,0.111,0.135,0.141,0.124,33.27,0.609,0.659,0.568,0.63,0.596,0.728,2.8e-05,latent,0.002,5,0,0,0,0.001882314682006836
svc,ag,0.59,0.549,0.542,0.578,0.138,0.188,0.198,0.153,4.153,0.004,0.656,0.628,0.721,0.704,0.71,1.4e-05,latent,0.002,5,0,0,0,0.001882314682006836
logreg,ag,0.69,0.682,0.681,0.685,0.034,0.041,0.043,0.041,7.213,0.842,0.579,0.516,0.59,0.552,0.618,3e-05,latent,0.002,5,0,0,0,0.001882314682006836
mlp,ag,0.49,0.462,0.46,0.484,0.078,0.096,0.099,0.082,8.134,2.634,0.658,0.611,0.695,0.669,0.725,1.9e-05,latent,0.002,5,0,0,0,0.001882314682006836
xgb,lc,0.983,0.982,0.982,0.982,0.033,0.036,0.036,0.036,11.759,32.661,0.344,0.294,0.341,0.304,0.279,3.5e-05,original,0.002,5,0,0,0,0.0019066333770751953
rf,lc,0.983,0.982,0.982,0.982,0.033,0.036,0.036,0.036,29.961,0.324,0.354,0.202,0.172,0.206,0.256,1.2e-05,original,0.002,5,0,0,0,0.0019066333770751953
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.778,0.003,0.339,0.226,0.22,0.226,0.262,5e-06,original,0.002,5,0,0,0,0.0019066333770751953
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.351,0.057,0.312,0.223,0.23,0.223,0.259,0.0,original,0.002,5,0,0,0,0.0019066333770751953
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.583,1.939,0.344,0.198,0.169,0.201,0.251,3.1e-05,original,0.002,5,0,0,0,0.0019066333770751953
xgb,lc,0.983,0.982,0.982,0.982,0.033,0.036,0.036,0.036,7.483,35.682,0.351,0.223,0.209,0.224,0.278,2.7e-05,latent,0.002,5,0,0,0,0.0019066333770751953
rf,lc,0.983,0.982,0.982,0.982,0.033,0.036,0.036,0.036,39.722,0.263,0.375,0.191,0.144,0.2,0.256,3e-05,latent,0.002,5,0,0,0,0.0019066333770751953
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.122,0.003,0.369,0.204,0.167,0.209,0.265,1.2e-05,latent,0.002,5,0,0,0,0.0019066333770751953
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.826,0.125,0.365,0.207,0.175,0.211,0.272,1.7e-05,latent,0.002,5,0,0,0,0.0019066333770751953
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.198,0.149,0.362,0.22,0.198,0.222,0.277,2.7e-05,latent,0.002,5,0,0,0,0.0019066333770751953
xgb,craig,0.775,0.732,0.858,0.887,0.229,0.247,0.121,0.093,6.241,19.498,0.497,0.195,0.104,0.229,0.64,9e-06,original,0.002,5,0,0,0,0.0020248889923095703
rf,craig,0.71,0.629,0.774,0.78,0.215,0.17,0.072,0.058,18.498,0.201,0.497,0.217,0.138,0.242,0.576,8e-06,original,0.002,5,0,0,0,0.0020248889923095703
svc,craig,0.505,0.451,0.674,0.7,0.133,0.072,0.056,0.099,8.649,0.001,0.499,0.191,0.096,0.227,0.505,2e-06,original,0.002,5,0,0,0,0.0020248889923095703
logreg,craig,0.5,0.448,0.73,0.813,0.0,0.005,0.023,0.016,6.957,0.107,0.5,0.184,0.084,0.223,0.536,0.0,original,0.002,5,0,0,0,0.0020248889923095703
mlp,craig,0.385,0.381,0.62,0.627,0.08,0.053,0.089,0.131,11.516,0.084,0.501,0.224,0.148,0.248,0.52,4.4e-05,original,0.002,5,0,0,0,0.0020248889923095703
xgb,craig,0.655,0.61,0.784,0.813,0.247,0.24,0.135,0.128,5.857,0.293,0.498,0.183,0.085,0.222,0.505,2.2e-05,latent,0.002,5,0,0,0,0.0020248889923095703
rf,craig,0.675,0.623,0.809,0.853,0.218,0.224,0.101,0.075,23.216,0.303,0.498,0.186,0.088,0.223,0.524,1.1e-05,latent,0.002,5,0,0,0,0.0020248889923095703
svc,craig,0.65,0.575,0.773,0.813,0.184,0.152,0.041,0.016,4.584,0.002,0.497,0.191,0.096,0.226,0.572,6e-06,latent,0.002,5,0,0,0,0.0020248889923095703
logreg,craig,0.525,0.462,0.692,0.733,0.122,0.067,0.065,0.11,6.0,0.255,0.501,0.186,0.087,0.224,0.539,1.5e-05,latent,0.002,5,0,0,0,0.0020248889923095703
mlp,craig,0.505,0.451,0.674,0.7,0.133,0.072,0.056,0.099,5.05,0.233,0.498,0.191,0.096,0.226,0.538,5.5e-05,latent,0.002,5,0,0,0,0.0020248889923095703
xgb,random,0.743,0.732,0.732,0.742,0.056,0.075,0.078,0.064,9.982,0.652,0.61,0.557,0.639,0.606,0.649,7e-06,original,0.002,6,,,,
rf,random,0.743,0.741,0.742,0.742,0.065,0.065,0.064,0.064,23.962,0.357,0.633,0.554,0.622,0.587,0.672,2.9e-05,original,0.002,6,,,,
svc,random,0.76,0.757,0.758,0.76,0.075,0.072,0.07,0.07,4.918,0.002,0.638,0.609,0.705,0.684,0.668,7e-06,original,0.002,6,,,,
logreg,random,0.757,0.756,0.757,0.758,0.093,0.095,0.095,0.095,6.525,0.122,0.574,0.502,0.57,0.532,0.604,0.0,original,0.002,6,,,,
mlp,random,0.793,0.793,0.795,0.798,0.065,0.066,0.065,0.065,8.4,5.329,0.627,0.567,0.645,0.613,0.671,4.2e-05,original,0.002,6,,,,
