model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,20.584,0.09,0.769,0.795,0.898,0.903,0.93,1.3e-05,,,,,,
rf,Full-data,0.85,0.786,0.876,0.865,0.009,0.008,0.005,0.007,62.481,1.567,0.859,0.791,0.878,0.867,0.921,2.3e-05,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,372.603,16.572,0.771,0.795,0.897,0.902,0.885,0.000258,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,9.183,6.608,0.702,0.746,0.88,0.894,0.902,1e-06,,,,,,
mlp,Full-data,0.767,0.787,0.893,0.897,0.01,0.009,0.004,0.004,72.265,1.957,0.77,0.788,0.893,0.896,0.924,1.1e-05,,,,,,
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.395,20.801,0.83,0.793,0.885,0.878,0.883,5.6e-05,10,0,,,,
rf,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,24.555,0.542,0.802,0.71,0.819,0.796,0.875,4.7e-05,10,0,,,,
svc,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.082,0.001,0.71,0.648,0.785,0.759,0.794,2e-06,10,0,,,,
logreg,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,5.023,0.007,0.775,0.724,0.84,0.826,0.851,1e-06,10,0,,,,
mlp,random,0.4,0.333,0.333,0.4,0.2,0.207,0.207,0.2,7.057,0.803,0.755,0.685,0.807,0.785,0.828,6.1e-05,10,0,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.114,0.032,0.808,0.788,0.885,0.882,0.871,1e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,16.34,0.372,0.773,0.741,0.856,0.848,0.866,2.4e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
svc,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.225,0.002,0.826,0.739,0.841,0.822,0.892,2e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
logreg,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.757,0.007,0.83,0.759,0.857,0.843,0.891,0.0,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
mlp,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,7.126,0.019,0.799,0.704,0.814,0.79,0.873,2.9e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014200210571289062
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.159,0.037,0.812,0.801,0.894,0.892,0.812,1.6e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.829,0.349,0.77,0.703,0.822,0.803,0.849,2.4e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
svc,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.867,0.002,0.808,0.691,0.798,0.769,0.882,2e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
logreg,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.899,0.005,0.818,0.736,0.84,0.822,0.88,0.0,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
mlp,ag,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,8.062,0.044,0.812,0.717,0.824,0.801,0.877,7.3e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013647079467773438
xgb,k_center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,6.78,0.025,0.531,0.287,0.293,0.287,0.767,1.7e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
rf,k_center,0.5,0.487,0.487,0.5,0.158,0.169,0.169,0.158,15.95,0.542,0.486,0.191,0.145,0.197,0.636,1.9e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
svc,k_center,0.6,0.587,0.587,0.6,0.255,0.267,0.267,0.255,4.868,0.002,0.467,0.167,0.109,0.175,0.648,4e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
logreg,k_center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,6.15,0.005,0.481,0.142,0.062,0.158,0.3,1e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
mlp,k_center,0.55,0.527,0.527,0.55,0.292,0.31,0.31,0.292,5.784,0.867,0.483,0.242,0.234,0.242,0.41,1.5e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0013821125030517578
xgb,craig,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,4.18,0.031,0.5,0.134,0.042,0.155,0.521,2e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
rf,craig,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,15.475,0.294,0.5,0.458,0.774,0.845,0.5,1.8e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
svc,craig,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,6.841,0.001,0.623,0.46,0.548,0.49,0.282,1e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
logreg,craig,0.4,0.333,0.333,0.4,0.374,0.365,0.365,0.374,6.829,0.006,0.694,0.632,0.772,0.744,0.772,0.0,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
mlp,craig,0.3,0.2,0.2,0.3,0.245,0.163,0.163,0.245,6.218,0.019,0.656,0.601,0.75,0.719,0.733,3.5e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0014586448669433594
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.302,0.037,0.387,0.38,0.553,0.481,0.337,4e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0015721321105957031
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,14.064,0.291,0.281,0.275,0.4,0.32,0.201,1.8e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0015721321105957031
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.858,0.001,0.384,0.322,0.427,0.356,0.337,4e-06,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0015721321105957031
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.362,0.007,0.347,0.234,0.278,0.239,0.249,0.0,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0015721321105957031
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.544,0.022,0.342,0.275,0.36,0.296,0.269,9.1e-05,10,0,769.449004650116,407.1353461742401,6.270814696077593e-07,0.0015721321105957031
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.609,0.041,0.802,0.803,0.897,0.897,0.849,1.8e-05,10,1,,,,
rf,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,13.628,0.21,0.742,0.694,0.822,0.806,0.833,1.4e-05,10,1,,,,
svc,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.774,0.001,0.769,0.724,0.842,0.83,0.848,3e-06,10,1,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.812,0.007,0.779,0.743,0.856,0.847,0.861,0.0,10,1,,,,
mlp,random,0.55,0.54,0.54,0.55,0.292,0.285,0.285,0.292,8.241,0.047,0.757,0.672,0.794,0.766,0.822,8.5e-05,10,1,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.925,0.03,0.828,0.804,0.893,0.89,0.877,3e-06,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0015673637390136719
rf,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,12.102,0.253,0.763,0.687,0.807,0.784,0.829,2.1e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0015673637390136719
svc,k-means,0.55,0.413,0.413,0.55,0.1,0.16,0.16,0.1,6.717,0.001,0.64,0.442,0.512,0.461,0.247,3e-06,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0015673637390136719
logreg,k-means,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,6.418,0.005,0.671,0.598,0.738,0.701,0.751,0.0,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0015673637390136719
mlp,k-means,0.4,0.333,0.333,0.4,0.2,0.183,0.183,0.2,7.588,0.03,0.695,0.611,0.745,0.708,0.751,1.2e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0015673637390136719
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.823,0.031,0.811,0.807,0.898,0.898,0.875,3e-06,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014624595642089844
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.539,0.159,0.726,0.649,0.779,0.749,0.799,1.7e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014624595642089844
svc,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.808,0.002,0.673,0.585,0.719,0.676,0.5,3e-06,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014624595642089844
logreg,ag,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.772,0.005,0.655,0.591,0.738,0.702,0.73,1e-06,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014624595642089844
mlp,ag,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,8.058,0.05,0.681,0.606,0.744,0.707,0.744,6.1e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014624595642089844
xgb,k_center,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,5.403,0.027,0.805,0.782,0.881,0.877,0.822,1.7e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.001584768295288086
rf,k_center,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,15.308,0.289,0.622,0.448,0.529,0.473,0.749,2.1e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.001584768295288086
svc,k_center,0.5,0.387,0.387,0.5,0.158,0.181,0.181,0.158,6.977,0.001,0.543,0.223,0.179,0.228,0.364,4e-06,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.001584768295288086
logreg,k_center,0.5,0.467,0.467,0.5,0.316,0.337,0.337,0.316,6.982,0.003,0.555,0.269,0.254,0.27,0.613,0.0,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.001584768295288086
mlp,k_center,0.25,0.187,0.187,0.25,0.158,0.107,0.107,0.158,7.629,0.049,0.559,0.316,0.332,0.316,0.556,8e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.001584768295288086
xgb,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,3.565,0.043,0.5,0.458,0.774,0.845,0.5,5e-06,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014569759368896484
rf,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,13.784,0.245,0.5,0.458,0.774,0.845,0.674,1.1e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014569759368896484
svc,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.154,0.002,0.5,0.458,0.774,0.845,0.394,2e-06,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014569759368896484
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.269,0.007,0.454,0.438,0.732,0.76,0.63,0.0,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014569759368896484
mlp,craig,0.6,0.467,0.6,0.6,0.2,0.267,0.249,0.2,5.04,0.021,0.504,0.5,0.762,0.788,0.654,6.6e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0014569759368896484
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.132,0.027,0.248,0.237,0.341,0.267,0.169,1.4e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0021970272064208984
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.485,0.25,0.262,0.261,0.385,0.305,0.183,2.1e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0021970272064208984
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.68,0.002,0.377,0.374,0.55,0.478,0.324,3e-06,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0021970272064208984
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.584,0.006,0.307,0.282,0.397,0.32,0.256,0.0,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0021970272064208984
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.736,0.021,0.361,0.325,0.448,0.372,0.292,4.7e-05,10,1,886.7392570972443,522.1353929042816,6.296811495276736e-07,0.0021970272064208984
xgb,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.618,0.033,0.833,0.789,0.881,0.873,0.85,8e-06,10,2,,,,
rf,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,14.424,0.451,0.741,0.606,0.719,0.674,0.842,3.5e-05,10,2,,,,
svc,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.737,0.002,0.792,0.739,0.849,0.836,0.866,4e-06,10,2,,,,
logreg,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.632,0.008,0.782,0.709,0.824,0.805,0.858,0.0,10,2,,,,
mlp,random,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,7.378,0.05,0.77,0.674,0.791,0.762,0.855,6.8e-05,10,2,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.602,0.05,0.81,0.8,0.894,0.892,0.869,1.7e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013766288757324219
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,16.03,0.335,0.737,0.73,0.857,0.855,0.853,2.4e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013766288757324219
svc,k-means,0.7,0.653,0.653,0.7,0.1,0.16,0.16,0.1,6.941,0.001,0.627,0.404,0.454,0.413,0.498,3e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013766288757324219
logreg,k-means,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,6.476,0.003,0.711,0.628,0.759,0.725,0.765,1e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013766288757324219
mlp,k-means,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,7.772,0.029,0.679,0.602,0.741,0.703,0.746,3e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013766288757324219
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,5.446,0.068,0.809,0.805,0.898,0.897,0.878,1.7e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014243125915527344
rf,ag,0.8,0.767,0.767,0.8,0.245,0.291,0.291,0.245,15.076,0.25,0.78,0.723,0.838,0.823,0.847,1.7e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014243125915527344
svc,ag,0.45,0.36,0.36,0.45,0.187,0.196,0.196,0.187,6.819,0.002,0.686,0.535,0.64,0.585,0.488,2e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014243125915527344
logreg,ag,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,6.906,0.005,0.718,0.604,0.725,0.682,0.768,1e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014243125915527344
mlp,ag,0.35,0.293,0.293,0.35,0.255,0.244,0.244,0.255,7.562,0.05,0.69,0.577,0.701,0.653,0.752,5.2e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014243125915527344
xgb,k_center,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,7.703,0.249,0.741,0.668,0.794,0.769,0.798,2e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0015494823455810547
rf,k_center,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,16.059,0.195,0.641,0.519,0.636,0.578,0.719,1.3e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0015494823455810547
svc,k_center,0.6,0.52,0.52,0.6,0.255,0.299,0.299,0.255,6.78,0.002,0.586,0.342,0.366,0.344,0.5,9e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0015494823455810547
logreg,k_center,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,2.773,0.002,0.581,0.35,0.382,0.354,0.681,1e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0015494823455810547
mlp,k_center,0.45,0.36,0.36,0.45,0.187,0.196,0.196,0.187,7.52,0.018,0.636,0.487,0.588,0.529,0.684,3.9e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0015494823455810547
xgb,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,4.205,0.036,0.781,0.697,0.812,0.788,0.804,1.7e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013566017150878906
rf,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,17.227,0.139,0.61,0.357,0.383,0.359,0.856,1.2e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013566017150878906
svc,craig,0.7,0.6,0.667,0.7,0.245,0.327,0.298,0.245,6.408,0.001,0.659,0.491,0.583,0.526,0.785,2e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013566017150878906
logreg,craig,0.7,0.6,0.667,0.7,0.245,0.327,0.298,0.245,7.052,0.006,0.683,0.488,0.568,0.514,0.841,1e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013566017150878906
mlp,craig,0.7,0.6,0.667,0.7,0.245,0.327,0.298,0.245,5.841,0.017,0.654,0.438,0.499,0.452,0.867,2e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0013566017150878906
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.569,0.03,0.27,0.13,0.121,0.131,0.178,2.2e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014081001281738281
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.653,0.251,0.297,0.238,0.312,0.253,0.22,1.7e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014081001281738281
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.976,0.001,0.386,0.351,0.486,0.41,0.331,4e-06,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014081001281738281
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.763,0.007,0.375,0.352,0.497,0.42,0.358,0.0,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014081001281738281
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.769,0.042,0.405,0.396,0.573,0.504,0.383,7.7e-05,10,2,841.2461051940918,728.8014872074127,5.982701409085437e-07,0.0014081001281738281
xgb,random,0.6,0.587,0.587,0.6,0.3,0.293,0.293,0.3,6.751,0.022,0.73,0.582,0.69,0.641,0.807,4e-06,10,3,,,,
rf,random,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,14.275,0.099,0.721,0.602,0.721,0.676,0.798,1.1e-05,10,3,,,,
svc,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.758,0.002,0.709,0.634,0.768,0.736,0.779,4e-06,10,3,,,,
logreg,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.936,0.009,0.734,0.643,0.768,0.735,0.803,1e-06,10,3,,,,
mlp,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,7.178,0.048,0.71,0.598,0.721,0.676,0.797,6e-05,10,3,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.221,0.025,0.843,0.797,0.886,0.878,0.878,1.2e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013773441314697266
rf,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,16.519,0.33,0.726,0.661,0.792,0.768,0.816,2e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013773441314697266
svc,k-means,0.65,0.64,0.64,0.65,0.339,0.336,0.336,0.339,7.201,0.002,0.692,0.612,0.747,0.71,0.256,2e-06,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013773441314697266
logreg,k-means,0.65,0.613,0.613,0.65,0.374,0.392,0.392,0.374,6.149,0.006,0.713,0.643,0.778,0.749,0.784,0.0,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013773441314697266
mlp,k-means,0.6,0.593,0.593,0.6,0.339,0.336,0.336,0.339,6.699,0.049,0.696,0.619,0.755,0.721,0.76,4.6e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013773441314697266
xgb,ag,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.874,0.021,0.814,0.796,0.89,0.887,0.854,2.2e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013399124145507812
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,14.858,0.298,0.762,0.704,0.825,0.808,0.844,1.8e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013399124145507812
svc,ag,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,6.755,0.002,0.694,0.583,0.707,0.66,0.24,3e-06,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013399124145507812
logreg,ag,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,6.992,0.005,0.691,0.627,0.767,0.737,0.761,0.0,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013399124145507812
mlp,ag,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,6.588,0.037,0.715,0.616,0.742,0.702,0.774,4.7e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013399124145507812
xgb,k_center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,5.381,0.029,0.641,0.675,0.848,0.869,0.646,1.6e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013163089752197266
rf,k_center,0.35,0.24,0.24,0.35,0.2,0.131,0.131,0.2,14.346,0.291,0.517,0.363,0.432,0.379,0.661,1.5e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013163089752197266
svc,k_center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,6.388,0.002,0.566,0.276,0.262,0.277,0.394,4e-06,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013163089752197266
logreg,k_center,0.45,0.393,0.393,0.45,0.187,0.203,0.203,0.187,6.827,0.006,0.562,0.288,0.283,0.288,0.626,0.0,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013163089752197266
mlp,k_center,0.25,0.187,0.187,0.25,0.158,0.107,0.107,0.158,4.917,0.028,0.565,0.283,0.274,0.283,0.572,8.4e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013163089752197266
xgb,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,4.196,0.036,0.5,0.458,0.774,0.845,0.5,1.3e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0015249252319335938
rf,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,15.971,0.305,0.5,0.458,0.774,0.845,0.5,2e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0015249252319335938
svc,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.771,0.001,0.5,0.458,0.774,0.844,0.508,2e-06,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0015249252319335938
logreg,craig,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,6.301,0.007,0.454,0.438,0.732,0.76,0.519,0.0,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0015249252319335938
mlp,craig,0.5,0.333,0.533,0.5,0.0,0.0,0.163,0.0,7.069,0.014,0.458,0.448,0.731,0.753,0.458,2.3e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0015249252319335938
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,13.524,0.047,0.169,0.13,0.17,0.134,0.123,3e-06,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013172626495361328
rf,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,17.117,0.3,0.214,0.168,0.219,0.174,0.144,1.9e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013172626495361328
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.999,0.001,0.442,0.248,0.26,0.248,0.303,4e-06,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013172626495361328
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.104,0.005,0.442,0.23,0.228,0.23,0.279,0.0,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013172626495361328
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.465,0.041,0.443,0.252,0.268,0.253,0.346,3.4e-05,10,3,288.6225483417511,300.2734830379486,5.681482297703631e-07,0.0013172626495361328
xgb,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.533,0.038,0.655,0.61,0.764,0.738,0.751,1.4e-05,10,4,,,,
rf,random,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,13.948,0.163,0.644,0.601,0.758,0.731,0.729,1.3e-05,10,4,,,,
svc,random,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,6.981,0.002,0.617,0.42,0.485,0.436,0.321,5e-06,10,4,,,,
logreg,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.955,0.007,0.694,0.659,0.804,0.789,0.766,0.0,10,4,,,,
mlp,random,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,7.778,0.022,0.652,0.612,0.768,0.744,0.759,4e-05,10,4,,,,
